Unnamed: 0,loss,beta,reward,kl_divergence,seed
0.0,dpo,0.01,0.9729315506496932,2.1917698105889123,0
1.0,dpo,0.025,0.9738839548875694,1.486640056096303,0
2.0,dpo,0.05,0.9709281351243844,0.8944918934999834,0
3.0,dpo,0.1,0.966789713391452,0.4464051684370499,0
4.0,dpo,0.25,0.9337569584546728,0.1353711796957893,0
5.0,dpo,0.5,0.8772586646258133,0.0714241420839853,0
6.0,dpo,1.0,0.8608471693088068,0.085397038494649,0
7.0,dpo,2.5,0.8479932869270269,0.0944036541082046,0
8.0,dpo,5.0,0.8385828113575698,0.0520065810211667,0
9.0,hinge,0.01,0.980852699913492,1.3694382926386504,0
10.0,hinge,0.025,0.9698619738424896,1.1557176765916883,0
11.0,hinge,0.05,0.9648681110654724,0.3911984622638949,0
12.0,hinge,0.1,0.9384168606614984,0.174267459946663,0
13.0,hinge,0.25,0.8868627080598962,0.0756219273711165,0
14.0,hinge,0.5,0.8594164966848912,0.0974715489315753,0
15.0,hinge,1.0,0.8616885237634706,0.0590010414090811,0
16.0,hinge,2.5,0.8531671766598301,0.0965773137958505,0
17.0,hinge,5.0,0.8592227913225943,0.0571403193451557,0
18.0,dpo,0.01,0.9806446093014676,1.567286107656359,1
19.0,dpo,0.025,0.9709513046708016,1.5356648649689404,1
20.0,dpo,0.05,0.9738507053931824,0.8915172041497167,1
21.0,dpo,0.1,0.9667607022071606,0.4408768389308846,1
22.0,dpo,0.25,0.9119692320628964,0.1970927165413085,1
23.0,dpo,0.5,0.8675725759530033,0.1054261649639529,1
24.0,dpo,1.0,0.8581170471782389,0.0558211943468675,1
25.0,dpo,2.5,0.827675260675227,0.0918958791671075,1
26.0,dpo,5.0,0.843882174395345,0.0528624608599615,1
27.0,hinge,0.01,0.9790377375335084,1.6430240260769515,1
28.0,hinge,0.025,0.9787744088118198,1.1637672887603077,1
29.0,hinge,0.05,0.9644944037581444,0.388540627939281,1
30.0,hinge,0.1,0.9453542918615858,0.169508812417464,1
31.0,hinge,0.25,0.8767702640558709,0.0761167561654647,1
32.0,hinge,0.5,0.8604517651600763,0.0979552571020183,1
33.0,hinge,1.0,0.8637283584352117,0.060161813277772,1
34.0,hinge,2.5,0.8623022718972643,0.0939482225512379,1
35.0,hinge,5.0,0.8651293819214916,0.058727354068131,1
36.0,dpo,0.01,0.9795935121315996,1.8536061446105936,2
37.0,dpo,0.025,0.9772094031247543,1.2728386178695157,2
38.0,dpo,0.05,0.973738667136524,0.8982977169870895,2
39.0,dpo,0.1,0.9637816623699036,0.4345638435618127,2
40.0,dpo,0.25,0.9366319697104918,0.206207834312025,2
41.0,dpo,0.5,0.8934627871421399,0.0707005809624933,2
42.0,dpo,1.0,0.8589076660044375,0.0555413054568061,2
43.0,dpo,2.5,0.8332467659801769,0.0935714366336228,2
44.0,dpo,5.0,0.8416046533435001,0.1171414402827822,2
45.0,hinge,0.01,0.9836039713824284,1.3632413481734431,2
46.0,hinge,0.025,0.972328403866908,1.131224247610761,2
47.0,hinge,0.05,0.9668388182873314,0.3844920848863557,2
48.0,hinge,0.1,0.927048535180802,0.1730000561814518,2
49.0,hinge,0.25,0.8849547030391405,0.1518027547997784,2
